,name,height,weight,Unnamed: 0,Country,GDP_USD_billions,Currency,Rate
0,,,,0.0,United States,26854.6,,
1,,,,1.0,China,19373.59,,
2,,,,2.0,Japan,4409.74,,
3,,,,3.0,Germany,4308.85,,
4,,,,4.0,India,3736.88,,
5,,,,5.0,United Kingdom,3158.94,,
6,,,,6.0,France,2923.49,,
7,,,,7.0,Italy,2169.74,,
8,,,,8.0,Canada,2089.67,,
9,,,,9.0,Brazil,2081.24,,
10,,,,10.0,Russia,2062.65,,
11,,,,11.0,South Korea,1721.91,,
12,,,,12.0,Australia,1707.55,,
13,,,,13.0,Mexico,1663.16,,
14,,,,14.0,Spain,1492.43,,
15,,,,15.0,Indonesia,1391.78,,
16,,,,16.0,Netherlands,1080.88,,
17,,,,17.0,Saudi Arabia,1061.9,,
18,,,,18.0,Turkey,1029.3,,
19,,,,19.0,Switzerland,869.6,,
20,,,,20.0,Taiwan,790.73,,
21,,,,21.0,Poland,748.89,,
22,,,,22.0,Argentina,641.1,,
23,,,,23.0,Belgium,624.25,,
24,,,,24.0,Sweden,599.05,,
25,,,,25.0,Ireland,594.1,,
26,,,,26.0,Thailand,574.23,,
27,,,,27.0,Norway,554.1,,
28,,,,28.0,Israel,539.22,,
29,,,,29.0,Singapore,515.55,,
30,,,,30.0,Austria,515.2,,
31,,,,31.0,Nigeria,506.6,,
32,,,,32.0,United Arab Emirates,498.98,,
33,,,,33.0,Vietnam,449.09,,
34,,,,34.0,Malaysia,447.03,,
35,,,,35.0,Philippines,440.9,,
36,,,,36.0,Bangladesh,420.52,,
37,,,,37.0,Denmark,405.63,,
38,,,,38.0,South Africa,399.02,,
39,,,,39.0,Hong Kong,382.85,,
40,,,,40.0,Egypt,378.11,,
41,,,,41.0,Iran,367.97,,
42,,,,42.0,Chile,358.56,,
43,,,,43.0,Romania,348.9,,
44,,,,44.0,Colombia,334.69,,
45,,,,45.0,Czech Republic,330.48,,
46,,,,46.0,Finland,301.67,,
47,,,,47.0,Peru,268.24,,
48,,,,48.0,Iraq,267.89,,
49,,,,49.0,Portugal,267.72,,
50,,,,50.0,New Zealand,251.97,,
51,,,,51.0,Kazakhstan,245.7,,
52,,,,52.0,Greece,239.3,,
53,,,,53.0,Qatar,219.57,,
54,,,,54.0,Algeria,206.01,,
55,,,,55.0,Hungary,188.5,,
56,,,,56.0,Kuwait,164.71,,
57,,,,57.0,Ethiopia,156.08,,
58,,,,58.0,Ukraine,148.71,,
59,,,,59.0,Morocco,138.78,,
60,,,,60.0,Slovakia,127.53,,
61,,,,61.0,Ecuador,121.29,,
62,,,,62.0,Dominican Republic,121.29,,
63,,,,63.0,Puerto Rico,120.84,,
64,,,,64.0,Kenya,118.13,,
65,,,,65.0,Angola,117.88,,
66,,,,66.0,Oman,104.9,,
67,,,,67.0,Guatemala,102.31,,
68,,,,68.0,Bulgaria,100.64,,
69,,,,69.0,Venezuela,96.63,,
70,,,,70.0,Uzbekistan,92.33,,
71,,,,71.0,Luxembourg,86.97,,
72,,,,72.0,Tanzania,85.42,,
73,,,,73.0,Turkmenistan,82.65,,
74,,,,74.0,Croatia,78.88,,
75,,,,75.0,Lithuania,78.35,,
76,,,,76.0,Costa Rica,77.78,,
77,,,,77.0,Uruguay,77.31,,
78,,,,78.0,Panama,77.26,,
79,,,,79.0,Ivory Coast,77.05,,
80,,,,80.0,Serbia,73.96,,
81,,,,81.0,Belarus,73.54,,
